Predicted,Expected,Error,,,,
1858.990405,1812.559998,2.561592843,,,MAPE,1.458584231
1855.621741,1819.809998,1.967883636,,,,
1861.013823,1816.474976,2.451938359,,,,
1858.027948,1831.884949,1.427109198,,,,
1861.48424,1837.654968,1.296721747,,,,
1863.797052,1842.434998,1.15944684,,,,
1864.103227,1838.40503,1.397852864,,,,
1859.598881,1845.130005,0.784165671,,,,
1858.850783,1846.400025,0.674326121,,,,
1861.627833,1832.875,1.568728539,,,,
1863.369941,1858.88501,0.241269954,,,,
1863.973191,1868.454956,0.239864768,,,,
1865.662221,1865.149963,0.02746471,,,,
1863.998015,1867.03003,0.162397789,,,,
1868.462078,1909.419983,2.145044346,,,,
1884.717101,1913.924988,1.52607274,,,,
1880.614743,1911.380005,1.609583752,,,,
1893.522714,1924.5,1.609627754,,,,
1911.011008,1945.214966,1.758363912,,,,
1889.475976,1921.329956,1.657913058,,,,
1882.148722,1927.095032,2.332334926,,,,
1879.924382,1901.710022,1.145581604,,,,
1880.131156,1950.200012,3.592906137,,,,
1904.368536,1934.75,1.570304392,,,,
1894.924062,1926.239991,1.625754275,,,,
1896.439687,1922.684998,1.365034387,,,,
1884.364141,1892.700012,0.440422178,,,,
1885.895816,1879.89502,0.319209113,,,,
1886.151042,1832.27002,2.94067041,,,,
1873.673657,1834.094971,2.15794091,,,,
